csv_index,file_name,mouse1_topleft_x,mouse1_topleft_y,mouse1_rightdown_x,mouse1_rightdown_y,mouse1_nose_x,mouse1_nose_y,mouse1_leftear_x,mouse1_leftear_y,mouse1_rightear_x,mouse1_rightear_y,mouse1_leftHip_x,mouse1_leftHip_y,mouse1_rightHip_x,mouse1_rightHip_y,mouse1_tailBase_x,mouse1_tailBase_y,mouse1_tailEnd_x,mouse1_tailEnd_y,mouse2_topleft_x,mouse2_topleft_y,mouse2_rightdown_x,mouse2_rightdown_y,mouse2_nose_x,mouse2_nose_y,mouse2_leftear_x,mouse2_leftear_y,mouse2_rightear_x,mouse2_rightear_y,mouse2_leftHip_x,mouse2_leftHip_y,mouse2_rightHip_x,mouse2_rightHip_y,mouse2_tailBase_x,mouse2_tailBase_y,mouse2_tailEnd_x,mouse2_tailEnd_y
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_373.png,354.1953684,186.7435156,435.8466166,244.8812715,364.0141894,212.8409082,374.3497904,193.9784363,368.6652098,198.6294568,406.6485437,224.4684594,387.0109017,226.5355796,398.1216728,213.8744683,421.3767752,237.1295707,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_406.png,202.1298592,141.0593001,385.1009074,257.0897209,225.3359434,164.7116551,248.0957567,169.6206344,255.2360903,164.2653843,271.3018409,210.2312817,286.9213206,199.5207813,296.7392793,218.264157,362.787365,234.7761784,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_565.png,279.9973357,154.3234458,406.7468917,245.2648313,314.1003552,205.4779751,332.2886323,188.994849,321.4893428,181.6058615,364.1181172,207.7515098,,,386.8534636,204.3412078,397.6527531,231.6236234,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_669.png,237.9369449,167.9646536,299.3223801,236.7390764,,,,,,,257.830373,207.1831261,287.9547069,207.7515098,272.6083481,216.8456483,253.8516874,260.6111901,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_817.png,63.44316163,70.77104796,191.8978686,249.8119005,,,73.10568384,122.4939609,96.97779751,98.05346359,150.4058615,191.2683837,161.205151,163.985968,173.1412078,187.8580817,246.4626998,240.717762,450.5124334,127.0410302,569.3046181,291.8722913,578.9671403,153.7550622,543.1589698,168.5330373,570.4413854,198.0889876,496.5515098,215.1404973,505.6456483,244.6964476,488.0257549,233.8971581,398.7895204,251.5170515
11.0,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_990.png,287.7992023,161.1652894,407.9710166,279.6680507,310.609593,200.6662099,321.7366128,192.320945,332.8636326,179.5248722,342.8779505,218.4694416,370.1391491,209.5678257,366.8010432,223.4766005,392.9495398,257.414011,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_214.png,118.3202342,179.8814572,394.1867048,293.9416326,138.8775914,253.4900588,169.3820569,226.301296,162.0875108,217.6804688,227.0752851,250.8374965,209.1704902,261.4477454,254.9271884,256.142621,355.7245527,266.0897293,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_265.png,346.5648394,7.520781346,513.7057681,80.09513193,432.3345265,40.50912252,412.5415218,7.520781346,448.8286971,11.91922684,427.936081,0.9231131111,438.9321947,0.9231131111,454.3267539,0.9231131111,463.1236449,0.9231131111,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_293.png,304.1189535,6.639670291,406.3899063,312.4877084,367.7970939,24.97125617,385.1638595,50.05658422,339.8173049,48.1269436,374.5508361,241.0910055,313.7671566,257.4929508,312.8023363,169.6943026,289.6466488,183.2017869,241.9220772,166.9345406,304.9904178,233.5504754,265.966882,223.30187,263.9959964,210.2940248,283.7048528,222.1193386,257.2949852,196.4978253,288.4349784,195.3152939,278.186373,179.5482087,305.3845949,219.3600987
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_387.png,72.76160769,59.20251585,420.2388014,307.714686,168.4277971,87.79241154,190.4200245,124.0795868,187.1211904,98.78852526,188.2208018,259.3317856,154.1328493,262.6306198,221.209143,262.6306198,352.0628963,296.7185723,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_616.png,25.8587593,23.26116326,9.396345806,46.19095349,81.12543319,138.4980577,119.3417502,290.1874393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_640.png,112.7010716,234.4776184,476.6424322,318.4640863,179.5290138,287.7593561,187.6567365,239.8961002,203.9121819,246.2176623,255.3877589,276.0193122,283.3832482,246.2176623,299.6386936,238.9930199,393.5590447,247.1207426,140.6965609,192.0328444,329.4403435,260.6669471,304.1540951,248.9269032,283.3832482,210.0944504,286.9955694,222.7375746,221.0707075,214.6098519,224.6830287,215.5129322,196.6875395,236.283779,175.9166926,249.8299835
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_695.png,299.2815504,155.9683166,545.5944979,334.105359,322.3733892,226.3434445,341.0667826,224.1442217,350.9632849,208.7496625,381.7524034,289.0212927,422.4380241,262.6306198,424.6372469,291.2205154,510.4069339,315.4119656,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_696.png,124.2802461,185.3683292,337.8874396,302.734919,343.3645471,216.6660865,298.765243,197.1049882,338.6698835,204.9294275,260.4254903,251.0936195,329.2805563,269.8722739,271.3797054,282.3913768,126.6275779,207.2767593,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_698.png,283.1163643,180.6736656,383.2691877,282.3913768,359.7958697,201.7996518,343.3645471,182.2385535,371.5325287,186.1507731,310.501902,218.2309744,342.5821032,228.4027455,309.719458,232.3149651,288.5934719,279.2616011,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_1061.png,272.1621485,155.6354598,348.05921,253.4409513,341.0172146,202.5820957,323.0210041,159.5476794,331.6278874,166.5896748,284.6812515,198.6698761,301.895018,207.2767593,286.2461393,221.3607501,314.4141209,246.3989559,327.7156677,175.979002,411.4371685,225.2729698,333.1927752,216.6660865,350.4065418,194.7576564,333.9752192,191.6278807,380.1394112,200.2347639,379.3569672,197.8874321,393.440958,202.5820957,388.7462944,229.9676333
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_1079.png,176.5515098,162.8492007,265.7877442,261.7479574,175.4147425,176.4904085,185.0772647,190.7,204.4023091,170.2381883,229.4111901,243.5596803,251.5781528,206.6147425,269.1980462,243.5596803,352.750444,261.7479574,236.231794,112.2630551,359.0026643,215.1404973,368.6651865,195.2470693,337.9724689,183.8793961,352.750444,164.5543517,290.7966252,169.101421,308.9849023,137.2719361,261.240675,149.7763766,158.3632327,156.5969805
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_322.png,191.1648392,252.9124379,111.8545095,189.8386059,128.5588289,162.3573062,89.22285091,159.6630611,286.44159,293.8364655,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_445.png,223.2418423,290.2479661,237.9657126,192.4393993,200.1043319,119.3459004,216.4057597,106.1995877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_459.png,401.5454081,197.7535488,612.6707916,289.0212927,602.7742892,262.6306198,575.2840049,239.5387809,569.785948,271.4275107,524.7018818,223.0446103,503.8092657,267.0290652,504.9088771,232.9411127,414.7407445,236.2399468,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_522.png,187.1925839,108.2326581,418.0137542,259.7090511,203.2834828,149.2921932,213.2709372,162.6087992,227.6972604,142.6338902,259.8790582,198.6746071,287.0671287,182.0288496,295.944866,192.5711627,404.6971482,234.7404149,,,,,,,,,,,,,,,,,,
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_560.png,240.7788632,111.1262877,369.2335702,198.6573712,400.4946714,123.0623446,374.3490231,111.1262877,377.759325,134.4300178,311.8268206,126.4726465,313.5319716,162.2808171,294.7753108,148.6396092,248.7362345,206.6147425,457.3330373,79.8651865,570.4413854,229.3500888,604.544405,95.77992895,565.8943162,108.8527531,581.8090586,138.4087034,532.9280639,175.9220249,534.6332149,198.0889876,517.0133215,190.7,435.1660746,240.1493783
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_771.png,281.4831385,104.5251077,345.8677122,258.4199423,324.6679135,121.7990177,312.8902476,111.5917072,333.3048686,117.873129,297.1866931,168.9096813,324.6679135,178.3318141,302.6829372,188.5391245,323.8827358,252.1385205,209.2467876,178.3318141,325.4530913,325.9452269,301.1125817,202.6723236,286.1942049,191.6798354,315.2457808,194.0353686,253.2167403,219.9462336,290.1200935,235.6497882,257.142629,237.2201436,271.2758281,312.5972055
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_789.png,216.6086294,171.2843384,379.3569672,313.6891341,369.9676401,301.1700312,338.6698828,266.7424982,328.4981117,299.6051433,287.0285833,247.1813999,269.8148167,297.2578115,254.1659381,258.1356149,258.0781578,176.761446,207.2193022,105.5590481,391.0936262,205.7118714,233.0399519,200.2347639,240.8643913,165.024787,211.1315218,165.8072309,276.0743682,138.4216933,240.0819473,113.3834875,283.8988075,120.4254828,378.5745233,136.8568054
11.0,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_799.png,120.0765734,50.95322329,133.1315015,18.57700169,253.7590368,170.0141673,183.2624252,128.2383975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1088.png,281.9576814,203.4347831,263.158585,200.3016004,264.7251764,243.1217645,334.6995908,222.7560767,420.339919,237.8997932,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1151.png,185.3108721,129.0323661,458.3838044,330.1204567,459.9486923,143.8988008,369.1851961,145.4636887,420.0440517,145.4636887,299.5476862,272.2196057,369.9676401,275.3493814,281.5514757,282.3913768,201.7421946,264.3951664,215.8261854,159.5476794,289.375915,265.1776103,250.2537184,167.3721188,244.7766109,176.761446,261.2079335,171.2843384,233.8223959,204.1469836,269.0323728,208.8416472,240.0819473,229.9676333,220.520849,262.0478346
11.0,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1308.png,269.1090739,216.1964743,582.2593382,321.4570673,570.8561073,268.8267708,525.2431836,239.0029361,544.540959,255.6691967,435.7716795,241.6344509,462.9639994,294.2647474,412.0880461,276.7213153,279.6351332,260.9322263,142.7963622,194.267184,289.2840209,309.1766648,282.266648,249.5289954,251.5656417,224.9681903,234.8993811,235.4942497,171.7430253,213.5649594,183.1462562,268.8267708,163.8484808,260.0550547,277.0036183,295.1419191
11.0,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_149.png,154.1995931,203.9160717,296.3013937,292.5104042,275.2492751,271.4582856,250.6884701,238.1257645,271.7405887,231.9855632,197.1810019,256.5463683,221.741807,233.7399064,193.6723155,246.8974806,166.4799956,246.8974806,68.23677542,218.8279891,375.2468385,339.8776711,108.5866694,264.4409127,82.27152116,250.406167,113.8496991,238.1257645,140.1648473,289.8788894,181.391913,269.7039424,177.8832265,281.9843449,356.8262347,324.9657538
