scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_181.png,337.53761755485897,152.08396775638153,422.6141054067883,239.002936088302,,,345.42300382544283,166.1976925513511,373.4924953095684,168.8292073779879,348.05451865207954,211.81061621305528,381.38703978947876,200.40738529762925,383.14138300723664,217.95081747520777,405.0706732292098,210.93344460417634,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_197.png,326.1252284301064,96.02396384103702,419.10541897127257,234.61707804390736,394.5446139226626,111.81305280085769,372.6153237006895,109.18153797422093,398.9304719670573,118.83042567188909,353.31754830535317,183.74112472892963,379.6326965717209,185.49546794668748,364.72077922077915,198.6530420798714,398.0533003581784,228.47687678175487,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_274.png,278.75796155064444,170.58355059574575,519.1029823834702,324.9657537584368,449.806425282035,303.91363514534254,500.68237859701276,231.98556321727057,456.8237981530665,238.12576447942305,,,398.0533003581784,235.4942496527863,388.40441266051016,257.4235398747594,291.0383640749494,294.2647474476743,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_344.png,155.0767646987158,181.10960990229287,365.5979508296581,296.8962622743111,355.9490631319899,253.03768183036482,348.9316902609585,206.54758655978173,330.5110864745011,197.77587047099246,,,265.6003874174605,217.07364586632883,239.28523915109275,230.23121999951272,175.25171170293112,286.370202967764,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_363.png,235.77655271557705,199.5302136887503,518.2258107745913,338.12332789162065,512.9627811213177,323.2114105406789,492.7878341171024,247.77465217709124,477.8759167661607,259.1778830925173,383.14138300723664,227.59970517287596,382.2642113983577,259.1778830925173,344.5458322165639,267.94959918130655,248.9341268487609,262.68656952803303,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_371.png,262.96887259082376,185.49546794668748,486.64763285494996,337.2461562827417,,,,,,,406.82501644696765,227.59970517287596,467.34985745961353,223.21384712848132,413.84238931799905,279.3528300967326,273.49493189737086,337.2461562827417,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_431.png,218.2331205379985,167.07486416023005,337.5284593455325,233.73990643502844,,,,,,,229.63635145342454,196.89869886211355,261.2145293730659,191.63566920883997,261.2145293730659,211.81061621305528,330.5110864745011,231.98556321727057,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_438.png,225.2504934090299,174.09223703126145,325.24805682122746,242.5116225238177,306.8274530347701,211.81061621305528,,,290.1611924660705,191.63566920883997,,,257.7058429375502,206.54758655978173,241.9167539777295,214.44213103969207,310.33613947028573,233.73990643502844,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_685.png,216.47877732024068,86.37507614336886,308.58179625252785,219.70516069296562,227.88200823566672,135.4966862405887,248.9341268487609,117.9532540630102,229.63635145342454,105.67285153870523,,,284.8981628127969,108.30436636534199,287.52967763943366,134.61951463170976,298.93290855485975,206.54758655978173,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_823.png,136.65616091225837,203.038900124266,376.12401013620524,339.87767110937847,154.19959308983692,294.2647474476743,152.44524987207905,239.002936088302,169.98868204965754,234.61707804390736,248.9341268487609,253.03768183036482,,,293.6698789015861,283.7386881411272,341.9143173899271,244.26596574157554,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_1086.png,107.70949781925378,150.40860359153044,282.26664798616014,283.7386881411272,122.62141517019558,181.10960990229287,162.97130917862614,162.6890061158354,,,197.1810019249043,224.96819034623917,,,200.68968836042,232.8627348261495,268.2319022440973,275.84414366121695,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_348.png,387.5272410516312,198.6530420798714,519.1029823834702,330.2287834117103,,,,,,,447.1749104553983,231.98556321727057,473.490058721766,235.4942496527863,446.29773884651934,252.16051022148588,416.47390414463587,311.8081796252528,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_608.png,20.177263035472038,8.525004845900412,203.93380500096924,304.7064353556891,24.829327389028947,56.59633649932158,44.9882729211088,12.401725140531141,,,79.87875557278548,152.73899980616403,,,85.30616398526851,169.02122504361313,172.9200426439233,294.62696258964917,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_682.png,48.08964915681338,69.00184144214,176.79676293855402,302.3804031789107,162.06522581895723,283.7721457646831,141.13093622795122,232.5994378755573,113.21855010660988,241.12822252374494,100.69212494822239,171.4607222046247,76.00203527815475,177.55000969180077,80.65409963171163,148.86227951153325,93.83494863345615,106.99370032952123,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_738.png,127.17474316728055,195.38292304710217,322.56144601666995,293.85161853072304,,,,,,,138.02955999224662,237.25150222911418,186.10089164566784,234.1501259934096,176.0214188796279,265.1638883504555,307.8299088970731,282.2214576468308,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_997.png,121.74733475479752,106.99370032952123,337.29298313626674,289.19955417716614,127.95008722620668,123.27592556697039,148.88437681721268,115.52248497770887,165.16660205466178,115.52248497770887,162.06522581895723,221.74462105059123,187.6515797635201,206.23773987206826,193.07898817600318,239.57753440589264,325.66282225237455,279.8954254700524,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_254.png,364.43002519868196,197.70895522388062,566.7948245784067,348.1257026555534,526.476933514247,205.4623958131421,523.3755572785424,216.31721263810817,548.1865671641791,222.5199651095174,485.38369839116115,270.59129676293855,526.476933514247,287.64886605931383,492.3617949214964,303.1557472378368,372.1834657879434,313.23522000387675,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_337.png,421.8054855592169,197.70895522388062,550.5125993409575,338.0462298895135,431.1096142663307,309.358499709246,475.30422562512115,312.45987594495057,462.89872068230284,277.56939329327395,519.4988369839116,297.7283388253538,517.9481488660593,263.6132002326033,537.331750339213,268.26526458616013,495.46317115720103,202.3610195774375,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_375.png,396.99447567358015,111.64576468307814,553.6139755766621,293.07627447179686,526.9975268633806,130.23365658731512,516.3974607482071,125.60195774374881,538.1070943981392,141.1088389222718,482.28232215545654,159.71709633649934,511.74539639465013,188.40482651676683,476.0795696840473,194.60757898817604,406.298604380694,286.09817794146153,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_542.png,177.5721069974802,98.46491568133365,355.12589649156814,246.55563093622797,,,191.52830005815088,131.02936615623184,208.5858693545261,110.09507656522584,228.74481488660598,162.0431285132778,252.7804807133166,124.82661368482269,269.0627059507657,158.94175227757322,314.80800542740843,228.72271758092657,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_639.png,3.8950377980229405,199.25964334173293,213.237933708083,337.27088583058736,,,14.749854622989005,245.78028687730182,38.78552044969962,206.23773987206826,116.31992634231443,296.17765070750147,118.64595851909291,250.43235123085873,142.68162434580353,277.56939329327395,215.56396588486143,261.2871680558248,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_698.png,51.191025392517986,187.6294824578407,197.73105252956003,329.51744524132585,125.62405504942825,314.01056406280287,127.17474316728055,279.1200814111262,98.48701298701303,296.95299476642765,126.39939910835437,230.27340569877884,68.24859468889326,224.07065322736966,,,162.84056987788335,238.02684628804033,,,,,,,,,,,,,,,113.21855010660988,206.23773987206826,,
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_124.png,330.3148866059314,185.30345028106225,429.55892614847846,254.30907152548946,335.74229501841444,212.44049234347744,340.39435937197135,196.15826710602832,,,369.0820895522388,203.13636363636365,391.5670672610971,195.38292304710217,396.99447567358015,215.54186857918205,391.5670672610971,246.55563093622797,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_423.png,169.04332234929257,182.9774181042838,284.56958712928866,276.0187051754216,,,,,,,230.29550300445828,207.78842798992056,274.4901143632487,208.56377204884672,231.8461911223106,229.49806163985272,199.28174064741233,269.81595270401243,241.92566388835053,185.30345028106225,441.9644310912968,287.64886605931383,,,370.6327776700912,203.9117076952898,414.05204496995543,211.6651482845513,371.40812172901735,224.8459972862958,414.8273890288816,231.82409381663112,387.69034696646645,242.67891064159724,246.57772824190738,245.78028687730182
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_478.png,151.2104089939911,200.03498740065908,362.8793370808297,329.51744524132585,335.74229501841444,298.5036828842799,295.42440395425473,234.1501259934096,291.547683659624,250.43235123085873,,,169.8186664082187,245.00494281837567,,,,,192.303644117077,197.70895522388062,438.86305485559217,279.8954254700524,200.83242876526464,217.86790075596048,200.83242876526458,219.41858887381278,225.64343865090137,216.31721263810817,,,284.56958712928866,210.88980422562514,303.17784454351624,227.94737352200042,407.8492924985462,226.39668540414812
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_53.png,201.60777282419076,156.61572010079476,378.38621825935263,269.0406086450863,209.36121341345228,181.4267299864315,254.3311688311689,168.24588098468698,224.09275053304907,162.0431285132778,300.07646830781164,237.25150222911418,,,314.0326613684823,239.57753440589264,351.24917619693747,236.47615817018806,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_540.png,241.15031982942435,185.30345028106225,354.3505524326421,268.26526458616013,,,305.50387672029467,193.05689087032374,334.1916069005622,203.13636363636365,,,295.42440395425473,231.82409381663115,256.6572010079473,232.5994378755573,327.21351037022686,241.12822252374494,210.91190153130458,165.1445047489824,359.7779608451251,254.30907152548946,,,315.5833494863346,169.79656910253928,339.6190153130452,170.57191316146543,,,339.6190153130452,213.2158364024036,,,224.09275053304907,251.983039348711
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_69.png,219.44068617949222,182.9774181042838,361.32864896297735,277.56939329327395,284.56958712928866,251.20769528978488,281.46821089358406,207.78842798992056,239.59963171157204,206.23773987206826,,,,,,,334.9669509594883,231.82409381663115,,,,,,,,,,,,,,,,,,
labeled-data,0080,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_745.png,179.12279511533245,115.52248497770887,472.9781934483427,330.292789300252,196.9557084706339,131.02936615623184,269.0627059507657,124.82661368482269,,,318.6847257220392,242.67891064159724,,,324.8874781934484,265.9392324093817,417.9287652645862,258.9611358790463,276.8161465400272,117.84851715448735,348.14779996123286,190.7308586935453,334.9669509594883,131.02936615623184,,,,,,,293.0983717774763,157.3910641597209,289.9969955417717,173.67328939717,,
