scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_180.png,327.8795716478643,167.07486416023005,411.21087449136235,236.37142126166523,334.01977291001674,185.49546794668748,345.42300382544283,173.21506542238254,366.475122438537,177.60092346677718,348.9316902609585,210.05627299529743,380.5098681805998,202.1617285153871,386.6500694427523,220.58233230184453,407.7021880558466,219.70516069296562,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_453.png,244.54826880436633,88.12941936112668,314.7219975146804,235.4942496527863,284.02099120391796,106.55002314758417,295.424222119344,100.40982188543165,274.3721035062498,103.04133671206847,298.0557369459808,157.42597646256186,277.88078994176556,157.42597646256186,279.6351331595234,184.61829633780857,248.05695523988197,231.98556321727057,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_496.png,256.8286713286713,144.26840232937798,346.3001754343218,227.59970517287596,329.63391486562216,200.40738529762925,341.9143173899272,169.70637898686684,327.00240003898534,172.3378938135036,,,293.6698789015861,169.70637898686684,279.6351331595233,189.88132599108212,273.49493189737086,222.33667551960238,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_633.png,219.11029214687744,74.09467361906388,276.1264467240076,204.79324334202389,232.26786628006136,102.16416510318953,234.89938110669812,84.62073292561098,255.9514997197923,78.48053166345852,240.1624107599717,112.69022440973663,267.3547306352184,113.56739601861557,255.95149971979237,140.75971589386228,265.6003874174605,198.6530420798714,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_634.png,219.11029214687744,74.97184522794282,282.26664798616014,202.1617285153871,,,230.51352306230348,96.02396384103702,,,237.53089593333482,107.42719475646305,272.6177602884919,103.91850832094735,262.9688725908237,136.3738578494677,269.98624546185516,197.77587047099246,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_681.png,217.35594892911956,77.60336005457958,309.4589678614068,215.31930264857098,228.7591798445456,109.18153797422093,248.05695523988197,96.02396384103702,236.65372432445594,87.2522477522478,260.33735776418695,119.70759728076803,290.1611924660705,104.79567992982629,285.7753344216758,134.61951463170976,297.1785653371019,202.1617285153871,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_802.png,334.8969445188957,182.86395312005072,401.561986793694,250.40616700372803,345.42300382544283,239.002936088302,370.8609804829317,203.038900124266,345.42300382544283,201.28455690650816,386.6500694427523,219.70516069296562,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_810.png,142.79636217441083,182.86395312005072,324.3708852123485,339.0004995004996,167.35716722302078,326.7200969761946,207.7070612314514,267.94959918130655,174.37454009405218,260.0550547013962,262.96887259082376,264.44091274579085,,,292.7927072927073,245.14313735045448,317.3535123413171,224.96819034623917,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_850.png,141.91919056553195,203.91607173314495,344.5458322165639,331.9831266294682,158.5854511342315,304.7908067542214,188.40928583611503,239.88010769718093,154.19959308983692,230.23121999951272,235.776552715577,262.686569528033,,,275.24927511512874,264.44091274579085,335.7741161277746,292.5104042299165,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_851.png,137.5333325211373,201.28455690650816,346.3001754343218,328.47444019395243,149.8137350454423,304.7908067542214,185.77777100947822,249.5289953948491,155.0767646987158,241.63445091493878,240.1624107599717,262.68656952803303,,,279.6351331595233,263.5637411369119,335.7741161277746,289.8788894032797,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_866.png,155.07676469871586,189.88132599108212,284.8981628127969,295.14191905655326,,,,,249.81129845763985,218.82798908408668,,,229.63635145342454,235.4942496527863,,,278.75796155064444,281.1071733144904,,,,,,,,,,,,,,,177.006054920689,253.91485343924373,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_875.png,130.5159596501059,188.12698277332427,244.54826880436627,346.0178723715309,,,201.5668599692989,192.5128408177189,234.02220949781918,202.1617285153871,,,234.89938110669812,244.26596574157554,191.0408006627518,287.247374576643,205.0755464048146,333.737469847226,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_957.png,159.46262274311044,191.63566920883997,327.00240003898534,315.3168660607686,319.107855559075,253.0376818303648,297.1785653371019,206.5475865597817,312.96765429692266,225.8453619551181,,,256.82867132867125,260.0550547013962,194.5494870982675,274.089800443459,178.76039813844682,239.002936088302,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_196.png,165.6028240052629,195.14435564435567,313.8448259058015,298.65060549206896,304.19593820813327,239.002936088302,277.00361833288656,207.42475816866065,253.31998489315555,220.58233230184453,,,209.46140444920923,247.77465217709127,184.0234277917204,256.5463682658805,,,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_336.png,371.73815209181043,204.79324334202389,480.5074315927974,339.00049950049953,,,,,468.22702906849247,235.4942496527863,,,456.8237981530665,246.89748056821233,411.21087449136223,253.03768183036482,442.7890524110036,331.10595502058925,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_458.png,55.07920128651824,59.18275626812209,161.21696596086832,296.89626227431114,,,,,,,84.90303598840171,106.55002314758417,,,100.69212494822239,157.4259764625619,150.69090665432117,288.12454618552187,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_526.png,159.46262274311044,130.23365658731512,315.59916912355925,287.2473745766429,207.7070612314514,146.0227455471358,188.4092858361151,152.16294680928831,210.33857605808817,157.42597646256186,178.76039813844682,217.95081747520777,209.46140444920923,220.58233230184453,207.7070612314514,251.28333861260697,304.19593820813327,281.1071733144904,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_800.png,306.8274530347701,206.54758655978173,605.9429716624838,326.7200969761946,598.0484271825735,312.68535123413176,594.5397407470579,256.5463682658806,578.7506517872372,270.5811140079433,,,525.2431836456227,269.70394239906443,487.5248044638289,270.5811140079433,347.1773470432007,283.7386881411272,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_834.png,441.91188080212453,140.75971589386228,602.4342852269682,325.8429253673157,604.1886284447261,181.10960990229285,575.2419653517214,154.79446163592507,570.8561073073269,166.1976925513511,,,517.3486391657124,252.16051022148588,496.29652055261806,272.3354572257012,,,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_840.png,426.9999634511829,206.54758655978173,580.5049950049951,326.72009697619455,568.22459248069,303.9136351453425,576.9963085694793,244.26596574157554,548.0496454764748,254.79202504812267,,,510.331266294681,271.45828561682225,484.01611802831314,267.94959918130655,,,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_844.png,439.28036597548794,217.07364586632883,566.4702492629323,328.47444019395243,505.06823664140734,305.66797836310036,542.7866158232013,256.5463682658805,506.8225798591652,250.40616700372803,560.3300480007797,265.3180843546698,496.29652055261806,267.0724275724276,,,481.3846032016763,278.47565848785365,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_877.png,405.0706732292098,189.88132599108212,602.4342852269682,333.737469847226,425.24562023342514,261.8093979191541,474.36723033064493,204.79324334202386,447.1749104553984,205.6704149509028,509.45409468580203,292.51040422991645,,,525.2431836456227,319.70272410516316,591.0310543115422,289.0017177944008,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_929.png,430.50864988669866,222.33667551960238,599.8027704003314,346.017872371531,597.1712555736947,295.14191905655326,567.3474208718111,251.28333861260694,578.7506517872372,268.8267707901855,,,522.6116688189859,279.3528300967326,459.4553129797032,291.63323262103756,562.9615628274165,319.70272410516316,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_960.png,262.96887259082376,204.79324334202386,535.7692429521697,305.66797836310036,278.75796155064444,253.91485343924373,288.4068492483126,228.47687678175487,311.21331107916467,213.56495943081313,,,344.5458322165639,239.002936088302,404.19350162033084,248.65182378597018,530.5062132988962,276.72131527009583,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_137.png,371.73815209181055,239.002936088302,512.0856095124387,358.29827489583596,443.6662240198825,347.7722155892888,470.8585438951293,309.17666479861606,419.10541897127257,304.7908067542214,,,,,,,504.1910650325284,253.91485343924373,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_163.png,179.63756974732576,101.2869934943106,286.6525060305547,309.17666479861606,,,191.0408006627518,120.58476888964697,212.97009088472493,112.69022440973663,194.5494870982675,160.93466289807756,233.14503788894024,150.40860359153044,225.2504934090299,198.6530420798714,277.00361833288656,302.15929192758466,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_207.png,116.48121390804306,29.358921566238678,277.8807899417655,185.49546794668748,139.28767573889513,42.516495699422535,146.30504860992653,67.07730074803248,169.11151044077866,51.28821178821181,169.98868204965754,133.74234302283088,188.40928583611503,110.93588119197875,212.09291927584604,133.74234302283088,245.4254404132452,111.81305280085769,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_327.png,476.1215735484028,198.6530420798714,622.6092322311835,352.15807363368344,617.3462025779099,320.5798957140421,599.8027704003314,286.370202967764,576.9963085694793,308.2994931897372,541.9094442143223,307.42232158085824,508.5769230769231,330.2287834117103,521.734497210107,295.14191905655326,499.8052069881338,208.30192977753958,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_378.png,409.45653127360447,112.69022440973663,536.6464145610487,289.8788894032797,493.66500572598136,127.60214176067836,501.5595502058917,128.4793133695573,521.734497210107,124.09345532516267,493.66500572598136,162.6890061158354,532.2605565166541,167.952035769109,497.173692161497,205.6704149509028,419.10541897127257,274.089800443459,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_450.png,145.4278770010476,202.16172851538707,291.0383640749494,321.4570673229211,,,162.97130917862614,246.0203089593334,178.76039813844682,234.61707804390736,177.006054920689,284.61585975000617,206.82988962257247,259.1778830925173,239.28523915109275,302.15929192758466,290.1611924660705,221.45950391072347,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_526.png,166.47999561414184,102.16416510318953,326.1252284301064,241.63445091493875,,,190.16362905387285,140.75971589386228,191.91797227163073,119.70759728076803,219.98746375575638,138.12820106722552,,,266.47755902633946,144.26840232937798,312.0904826880436,231.98556321727057,,,,,,,,,,,,,,,,,,
labeled-data,0009,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_552.png,174.37454009405218,49.53386857045393,347.1773470432007,221.45950391072347,222.61897858239314,60.05992787700109,200.68968836042,86.3750761433688,229.63635145342454,89.00659097000562,217.35594892911956,146.0227455471358,245.4254404132452,125.84779854292054,254.1971565020345,166.1976925513511,336.65128773665356,214.44213103969207,,,,,,,,,,,,,,,,,,
