scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_1025.png,310.59418467492634,138.61842173833534,409.8762577127325,249.84270543866134,,,368.35777031391297,155.20348017052055,384.04249011857706,160.22275550536426,352.3846402273608,202.42838651337033,375.30260948197906,208.67874176462988,357.9405115618137,221.17945226714892,344.7453171424881,237.84706627050767,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_198.png,334.24160765628557,123.1027772249094,434.67565018402456,255.0605641625607,,,370.4908243929984,139.04827780914746,389.1243647656691,143.2831733483908,357.24602764500713,198.95596692933728,374.6081255651725,201.03941867975712,366.2743185634931,210.76219351504972,399.60954657021057,230.2077431856349,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_220.png,188.39031620553362,170.38650479954833,409.45186335403724,279.6468097120271,223.9051156181372,254.51468027386642,245.43411703914222,214.9290970158894,235.71134220384965,205.2063221805968,301.68731430047796,207.98425784782327,,,317.6604443870301,230.2077431856349,378.08054514920553,232.98567885286138,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_347.png,148.58229813664593,165.3046301524563,467.04644268774706,305.05618294748734,419.7495801576024,246.18087327218706,405.8599018214701,215.623580932696,378.08054514920553,214.9290970158894,,,314.18802480299706,235.76361452008783,300.29834646686476,232.98567885286138,187.79195194419327,267.0153907763855,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_393.png,301.0385375494071,144.1301524562395,446.7189440993789,250.0025409373236,,,349.0171903429484,163.40214043894372,358.3107927773241,158.0216337664104,362.38693419590993,209.05492432710514,381.78936734837856,207.91360472990112,378.08054514920553,217.01254876630924,412.1102570727296,238.5415501873143,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_425.png,207.87083568605306,162.76369282891028,411.99280067758326,246.6146245059289,,,,,,,285.01970029711924,202.42838651337033,,,301.68731430047796,205.9008060974034,373.91364164836585,223.26290401756876,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_573.png,151.123235460192,169.53952569169965,420.46259175607,287.2696216826652,181.54159669293375,239.2360341041209,210.01543728200494,221.17945226714892,,,291.9645394651854,240.62500193773414,,,315.57699263661027,235.76361452008783,379.46951298281874,235.76361452008783,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_601.png,185.8493788819876,93.31140598531908,345.9284302653868,251.69649915302094,228.7665030357835,114.92341299573695,239.87824570468933,123.95170391422289,,,252.37895620720838,194.09457951169097,,,264.18518279292084,205.2063221805968,330.8556388063558,228.81877535202167,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_648.png,185.8493788819876,67.9020327498589,331.5297854319594,222.05223037831738,,,230.84995478620334,91.31095982431202,223.9051156181372,85.75508848985913,268.3520862937605,106.58960599405754,,,280.15831287947293,123.95170391422289,293.3535072987986,192.70561167807773,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_671.png,220.5755223037832,48.421513269339414,317.9781197063806,221.20525127046872,,,264.8796667097274,69.78195840330699,285.01970029711924,71.86541015372683,256.54585970804806,117.00686474615674,273.9079576282134,108.67305774447738,270.43553804418036,136.452414416742,282.24176462989277,194.09457951169097,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_764.png,270.5472896668549,152.5999435347262,421.30957086391874,246.6146245059289,,,,,,,,,,,,,299.6038625500581,221.87393618395555,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_854.png,135.87761151891584,188.17306606437046,367.94988706945236,324.53670242800683,,,160.01259527192872,238.5415501873143,180.1526288593205,222.56842010076215,241.26721353830254,271.1822942772252,268.3520862937605,241.31948585454074,289.88108771476556,267.7098746931921,340.57841364164835,290.62784394781033,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_1105.png,114.70313382269904,175.46837944664037,248.5258328627894,300.82128740824396,205.15404986435863,277.4326495284847,210.01543728200494,230.90222710244151,172.51330577444776,234.3746466864746,186.40298411058006,205.2063221805968,153.7622400206692,218.40151659992247,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_209.png,207.87083568605306,190.71400338791648,449.25988142292493,330.4655561829475,407.94335357188993,317.0182327864617,421.13854799121566,253.8201963570598,376.6915773155923,257.98709985789947,,,329.4666709727426,269.79332644361193,312.7990569693838,268.40435860999867,235.71134220384965,267.7098746931921,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_221.png,268.85333145115754,177.1623376623377,599.1751835121402,340.6293054771316,587.1202041079964,295.4892313654567,557.257395685312,244.79190543857382,571.1470740214443,257.98709985789947,,,485.03106833742413,261.45951944193257,444.7510011626405,272.5712621108384,307.9376695517375,241.31948585454074,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_426.png,56.261575381140574,211.8884810841333,282.40499717673634,326.23066064370414,,,,,,,116.95459242991862,278.1271334452913,153.7622400206692,269.79332644361193,157.92914352150888,299.6561348662963,239.1837617878827,286.46094044697065,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_427.png,48.63876341050252,184.7851496329758,267.1593732354602,330.4655561829475,,,79.45246092236147,205.2063221805968,,,114.17665676269215,273.96022994445167,144.7339491021832,264.9319390259656,145.4284330189898,291.32232786461697,237.7947939542695,291.32232786461697,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_727.png,114.70313382269904,163.61067193675896,333.2237436476567,306.7501411631847,,,156.5401756878956,177.42696550833222,180.1526288593205,186.4552564268182,166.95743443999487,256.59813202428626,195.431275029066,248.9588089394135,199.59817852990568,269.09884252680536,317.6604443870301,288.5443921973905,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_867.png,388.2773856578205,186.47910784867312,613.5738283455676,343.1702428006776,426.6944193256685,270.4878103604185,471.1413900012918,204.5118382637902,444.7510011626405,210.06770959824308,517.671812427335,299.6561348662964,,,526.0056194290144,319.1016845368815,598.2319467769022,304.51752228394264,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_890.png,398.4411349520046,188.17306606437046,605.9510163749294,343.1702428006776,437.1116780777677,283.68300477974424,460.02964733238605,216.31806484950263,,,520.4497480945614,296.8781991990699,,,526.7001033458209,319.79616845368815,,,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_926.png,402.6760304912479,191.56098249576516,612.7268492377189,343.1702428006776,,,,,550.3125565172459,260.76503552512594,535.0339103475003,246.87535718899366,488.50348792145724,269.79332644361193,465.585518666839,294.10026353184344,591.9815915256427,319.1016845368815,,,,,,,,,,,451.6958403307067,251.73674460663992,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_940.png,383.19551101072847,180.5502540937324,578.847684923772,328.77159796725016,,,502.3931662575894,221.17945226714892,543.3677173491797,230.2077431856349,480.86416483658445,283.68300477974424,521.1442320113681,294.79474744865007,473.22484175171166,308.6844257847823,514.8938767601086,332.9913628730138,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_942.png,396.74717673630715,208.5005646527386,578.847684923772,337.2413890457369,,,459.33516341557936,239.2360341041209,,,489.61900012213505,259.2370028091031,520.396999552172,257.0385742783862,507.93923787810945,286.35095468794526,506.47361885763144,339.8460489353906,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_982.png,121.47896668548844,194.94889892715986,345.0814511575381,296.58639186900064,,,138.60324471766484,228.45900337906605,,,206.02171965965078,239.4511460326507,220.67790986443032,227.7261938688271,230.93724300777603,248.97766966575742,318.1415747262143,278.2900500753165,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_276.png,443.3310276679842,28.94099378881998,605.9510163749294,278.7998306041785,595.8763791067868,69.43933965720794,559.9687131050769,70.17214916744695,572.4264747791394,103.14857712820094,515.2673329804992,121.46881488417534,528.4579041648008,139.0562431299108,513.8017139600213,142.72029068110572,484.4893335504622,241.64957456336765,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_330.png,433.1672783738001,189.02004517221914,585.6235177865613,347.405138339921,538.1926877470355,336.3944099378882,561.9081027667985,291.50451722190854,524.6410220214568,292.35149632975725,,,,,524.6410220214568,272.87097684923776,499.2316487859967,201.72473178994923,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_416.png,175.68562958780348,90.77046866177307,352.70426312817625,313.52597402597405,195.16614906832297,286.4226425748165,204.48291925465838,261.860248447205,179.0735460191982,254.23743647656696,226.5043760587239,184.7851496329758,202.78896103896102,180.5502540937324,226.5043760587239,161.06973461321294,315.4371823828346,135.66036137775274,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_807.png,219.7285431959345,88.22953133822705,312.04926595143985,263.55420666290235,,,267.1593732354602,110.25098814229256,284.09895539243365,118.72077922077926,241.75,167.84556747600232,263.7714568040655,171.23348390739702,245.13791643139473,194.94889892715986,245.13791643139467,228.82806324110678,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_842.png,392.5122811970638,178.0093167701864,571.2248729531339,352.48701298701303,517.0182100508189,340.6293054771316,531.4168548842463,303.36222473179,494.14977413890466,305.05618294748734,529.7228966685489,258.4723320158103,500.925607001694,261.0132693393563,511.0893562958781,242.37972896668555,422.15654997176733,205.95962732919259,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_914.png,380.65457368718245,258.4723320158103,581.3886222473179,333.8534726143422,410.29884246188595,311.83201581027674,439.9431112365896,319.4548277809148,436.55519480519484,291.50451722190854,476.3632128740824,323.6897233201581,479.75112930547715,293.1984754376059,489.9148785996612,312.6789949181254,549.2034161490683,286.4226425748165,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_117.png,321.3660361377753,166.99858836815363,434.8612365894974,247.46160361377758,,,344.2344720496895,196.6428571428572,,,378.11363636363643,199.1837944664032,397.59415584415586,195.7958780350085,394.20623941276114,210.19452286843597,386.5834274421231,244.07368718238288,,,,,,,,,,,,,,,,,,
labeled-data,0081,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1294.png,258.6895821569735,147.51806888763417,381.50155279503105,258.4723320158103,,,,,342.54051383399207,192.40796160361384,,,305.2734330886505,201.72473178994923,287.4868718238284,213.58243929983067,329.835827216262,245.76764539808022,346.7754093732355,171.23348390739702,465.35248447204964,258.4723320158103,,,365.40894974590634,191.56098249576516,,,382.34853190287976,206.80660643704127,402.6760304912479,202.5717108977979,394.20623941276114,216.97035573122534,413.6867588932807,249.15556182947492
