scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_1056.png,243.267064067294,157.229188862126,429.579123540816,241.14430736146,396.873054028706,207.692616037568,,,374.945469411825,186.391533838313,,,335.47581710144,202.054094278942,328.584290507563,213.95764021382,251.524493139668,232.12621032495,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_157.png,301.644686549681,155.066412957055,436.342706339091,239.017736918826,,,343.620348530567,170.102470980059,358.656406553571,163.210944386182,357.40340171832,203.307099114192,384.343005676202,200.174587026066,378.704483917576,218.343157137196,412.535614469335,239.017736918826,,,,,328.584290507563,170.102470980059,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_391.png,233.982425446164,97.4281905355401,316.680744572685,228.993698236824,298.512174461555,103.066712294167,281.596609185676,106.199224382292,306.656705890683,107.452229217543,278.46409709755,175.11449032106,302.897691384932,178.873504826811,280.343604350426,192.030055596939,246.512473798667,233.3792151602,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_450.png,307.283208308308,170.102470980059,399.379063699206,240.897244171702,,,,,391.861034687704,189.524045926439,351.764879959694,196.415572520315,387.475517764328,197.042074937941,360.535913806446,211.451630543319,321.692763913686,245.282761095078,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_530.png,311.668725231684,165.716954056683,405.644087875458,248.415273183204,,,,,392.487537105329,192.656558014564,351.764879959694,201.427591861317,385.596010511453,201.427591861317,359.909411388821,215.837147466695,316.680744572685,245.282761095078,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_531.png,215.813855335034,188.897543508814,386.849015346703,276.607881976336,,,,,,,227.090898852287,238.391234501201,272.825575338924,225.234683731073,272.825575338924,254.680297359455,379.330986335201,258.439311865206,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_578.png,299.138676879181,96.8016881179149,436.342706339091,240.270741754077,432.58369183334,101.187205041291,,,403.764580622582,113.090750976169,417.547633810336,192.030055596939,384.969508093828,190.150548344064,377.451479082326,199.548084608441,311.042222814059,216.463649884321,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_777.png,133.742038626138,164.463949221432,250.271488304418,335.499109233101,,,194.512773135779,175.740992738685,230.223410940413,185.138529003063,173.211690936523,260.945321535707,230.223410940413,264.077833623833,192.006763465278,294.776452087466,200.151294894405,335.499109233101,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_890.png,343.620348530567,83.0186349301614,411.282609634084,235.258722413075,401.258570952082,94.9221808650395,,,,,360.535913806446,143.162867022177,388.102020181953,145.668876692677,368.680445235573,156.94592020993,362.415421059322,228.993698236824,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_1034.png,197.645285223905,208.319118455193,503.378465024983,299.788471428467,203.283806982531,264.077833623833,223.331884346536,240.270741754077,,,312.295227649309,262.198326370957,327.331285672313,241.523746589327,349.885372706819,267.836848129584,473.9328513966,253.427292524205,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_127.png,60.4412557639945,166.969958891933,250.271488304418,311.692017363345,,,88.0073621395015,174.487987903435,119.958985438385,182.632519332562,99.9109080743796,259.065814282831,133.742038626138,257.812809447581,134.368541043763,287.258423075964,236.488435116665,297.282461757966,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_428.png,155.043120825394,197.668577355566,285.982126109052,277.860886811586,277.2110922623,252.174287688955,254.657005227794,217.090152301946,252.777497974919,228.367195819199,182.609227200901,211.451630543319,179.476715112775,226.487688566323,161.93464741927,235.258722413075,240.873952040041,279.740394064462,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_534.png,23.47761312411,16.6093786618944,125.597507197011,264.077833623833,,,40.3931783999894,17.2358810795196,,,66.0797775226209,78.6331180067853,89.2603669747519,86.1511470182872,71.7182992812474,124.367794493422,72.9713041164977,254.680297359455,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_649.png,65.4532751049958,107.452229217543,287.861633361928,330.4870898921,271.572570503674,293.523447252215,237.741439951915,244.029756259828,211.428338411658,256.559804612331,153.163613572518,228.367195819199,129.356521702762,250.921282853704,108.681941921132,252.174287688955,113.067458844508,122.488287240547,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_687.png,449.499257109219,217.090152301946,585.450281733879,323.595563298223,505.884474695483,304.173988351843,540.342107664867,248.415273183204,506.510977113109,248.415273183204,547.860136676369,233.3792151602,515.908513377486,234.005717577825,498.366445683982,253.427292524205,477.065363484726,279.113891646837,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_846.png,100.537410492005,62.9705575661563,217.69336258791,274.72837472346,,,,,,,129.983024120387,165.090451639057,153.163613572518,166.343456474308,146.898589396267,184.512026585437,194.512773135779,263.451331206208,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_143.png,379.330986335201,220.849166807697,493.980928760605,341.764133409353,392.487537105329,325.475070551098,440.101720844842,316.704036704346,419.427141063211,286.005418240713,477.691865902351,305.426993187093,457.017286120721,284.752413405463,475.185856231851,285.378915823088,457.017286120721,227.114190983948,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_255.png,403.764580622582,174.487987903435,565.402204369874,341.764133409353,518.414523047987,192.030055596939,513.402503706986,200.801089443692,539.089102829617,200.801089443692,507.763981948359,250.921282853704,543.474619752993,254.05379494183,505.257972277858,289.137930328839,417.547633810336,341.137630991727,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_268.png,461.402803044097,26.0069149262718,589.835798657255,260.318819118082,564.775701952248,37.2839584435247,541.595112500118,62.9705575661563,564.149199534623,76.7536107539098,510.896494036485,129.379813834423,537.209595576742,138.777350098801,516.535015795111,150.054393616053,482.077382825727,249.041775600829,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_425.png,162.561149836896,130.632818669674,237.741439951915,318.583543957222,175.091198189399,309.812510110469,181.982724783276,298.535466593217,161.93464741927,284.125910987838,217.066860170285,245.909263512703,194.512773135779,230.246703072074,223.958386764161,217.716654719571,245.259468963417,152.560403286554,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_430.png,183.862232036151,126.873804163923,281.596609185676,330.4870898921,256.53651248067,331.113592309725,245.259468963417,301.667978681342,224.584889181786,315.451031869096,222.705384318828,254.05379494183,189.500756184695,256.559804612331,206.416321460574,223.981678895822,254.657007617711,145.042374275052,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_721.png,203.910311790073,158.198925045181,379.957491142743,338.005118903602,356.776901690612,187.018036255938,327.957790479855,205.813108784693,356.150399272987,220.849166807697,295.379664763347,264.077833623833,334.222814656107,282.246403734962,302.897693774849,298.535466593216,192.006765855195,308.559505275219,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_728.png,225.837896406954,156.319417792305,392.487539495247,331.113592309725,311.042225203976,176.993997573935,300.391684104348,187.018036255938,329.837297732731,176.36749515631,309.789220368725,238.391234501201,346.126360590985,235.8852248307,316.054244544977,273.47536988821,229.596910912705,312.945022198595,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_792.png,206.416321460574,22.2479004205208,317.307249380227,240.270741754077,291.620650257596,24.1274076733963,258.416022123462,50.440509213653,289.114640587095,65.4765672366568,261.548534211588,117.476267899545,285.355626081344,119.982277570046,260.295529376338,142.536364604552,219.572872230702,226.487688566323,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_841.png,403.764583012499,184.512026585437,549.113143901537,338.005118903601,500.872457744399,336.125611650726,526.559056867031,306.053495604718,500.245955326774,303.547485934218,539.089105219534,265.330838459083,498.366448073899,263.451331206208,510.896496426402,238.391234501201,418.174138617878,204.560103949442,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_858.png,445.11374257576,194.53606526744,628.678950939932,350.535167256105,620.534419510805,280.993398899712,590.462303464797,259.065814282831,576.679250277044,297.282461757966,531.571076208032,282.872906152588,514.029008514528,304.173988351843,507.137481920651,278.487389229211,485.20989730377,204.560103949442,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_878.png,356.150399272987,207.066113619943,552.872158407288,337.378616485976,386.222515318995,293.523447252215,401.258573341999,310.439012528095,406.270592683,279.740394064462,458.896795763514,327.354577803974,468.294332027891,289.764432746464,488.968911809521,314.198027033846,527.185559284656,252.174287688955,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1112.png,292.873655092846,154.43991053943,413.162119276877,233.3792151602,312.921732456851,198.295079773191,330.463800150356,178.247002409186,310.41572278635,178.247002409186,385.59601290137,200.801089443692,,,,,,,,,,,,,,,,,,,,,,,,
chenglong-wuyang-cs584,100,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1122.png,265.307548717339,166.969958891933,365.547935537365,253.427292524205,,,346.75286300861,192.656558014564,365.547935537365,202.054094278942,305.403703445349,213.95764021382,329.837297732731,223.355176478197,299.138679269098,238.391234501201,290.367645422345,284.752413405463,354.897394437737,178.873504826811,417.547636200253,239.644239336451,,,357.403404108238,195.162567685065,375.571974219367,191.403553179314,379.330988725118,212.078132960944,400.632070924374,205.813108784693,396.873056418623,221.475669225322,428.824679717506,205.813108784693
chenglong-wuyang-cs584,100,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_142.png,188.247751349444,193.909562849815,339.234833997108,281.619901317337,,,,,,,202.657306954823,243.403253842202,262.801539046838,238.391234501201,250.271490694335,262.824828788582,334.222814656107,259.065814282831,241.500456847583,190.150548344064,326.07828322698,252.80079010658,321.066263885978,248.415273183204,315.427742127352,216.463649884321,290.367645422345,216.46364988432,267.81355838784,196.415572520315,255.910012452962,205.813108784693,,,,
chenglong-wuyang-cs584,100,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_309.png,244.006466518084,189.524045926438,317.933751797852,250.921282853704,,,,,,,260.295529376338,212.078132960944,299.765181686723,210.825128125694,271.572572893591,234.63221999545,246.512476188584,242.776751424577,321.692766303603,187.018036255938,399.379066089123,251.547785271329,381.210495977994,247.162268347953,380.583993560368,212.078132960944,344.873355755734,216.46364988432,,,,,,,,
